Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2016-000001,25/06/2016,02/07/2016,Standard Class,C-00290,Andrew Gjertsen,Consumer,United States,Madison,Wisconsin,29476,Central,P-BIN-068,Office Supplies,Binders,Cardinal Easy-Open Binder,1959.44,7,0.0,30.42
2,CA-2017-000002,13/11/2017,13/11/2017,Same Day,C-00245,Andrew Gjertsen,Consumer,United States,Pittsburgh,Pennsylvania,15720,East,P-FUR-026,Furniture,Furnishings,Artistic Wire Pencil Cup,203.18,1,0.0,22.91
3,CA-2014-000003,28/03/2014,30/03/2014,Second Class,C-00605,Andrew Gjertsen,Corporate,United States,Buffalo,New York,23069,East,P-CHA-019,Furniture,Chairs,Bretford Rectangular Table,1117.56,6,0.6,-1116.26
4,CA-2017-000004,29/09/2017,03/10/2017,Second Class,C-00710,Benjamin Farhat,Consumer,United States,Buffalo,New York,98389,East,P-STO-119,Office Supplies,Storage,Advantus Super Stacker Drawer,24.0,1,0.0,2.89
5,CA-2016-000005,29/10/2016,04/11/2016,Standard Class,C-00295,Anna Andreadi,Corporate,United States,Nashville,Tennessee,66881,South,P-BOO-002,Furniture,Bookcases,Sauder 5-Shelf Bookcase,1951.52,2,0.2,-845.47
6,CA-2014-000006,20/11/2014,23/11/2014,Second Class,C-00251,Anna Gayman,Consumer,United States,Greensboro,North Carolina,33600,East,P-TAB-033,Furniture,Tables,Bevis Round Table,1843.09,1,0.0,-223.03
7,CA-2016-000007,12/02/2016,12/02/2016,Same Day,C-00261,Beth Thompson,Home Office,United States,Atlanta,Georgia,70981,East,P-ART-055,Office Supplies,Art,Sanford Liquid Highlighter,194.94,3,0.0,3.02
8,CA-2016-000008,23/09/2016,30/09/2016,Standard Class,C-00310,Brad Thomas,Home Office,United States,Reno,Nevada,23979,West,P-ART-054,Office Supplies,Art,Dixon Ticonderoga Pencils,118.48,4,0.0,18.72
9,CA-2017-000009,07/04/2017,11/04/2017,Second Class,C-00763,Brian Moss,Corporate,United States,Tulsa,Oklahoma,47512,South,P-PAP-104,Office Supplies,Paper,Hammermill Premium Copy Paper,914.04,6,0.0,167.16
10,CA-2016-000010,03/10/2016,05/10/2016,First Class,C-00141,Alan Haines,Consumer,United States,Wichita,Kansas,50492,Central,P-BIN-068,Office Supplies,Binders,GBC Binding Machine,224.5,1,0.5,-195.25
11,CA-2017-000011,04/06/2017,08/06/2017,Standard Class,C-00375,Alyssa Tate,Consumer,United States,Columbus,Ohio,43681,East,P-ENV-078,Office Supplies,Envelopes,Staples Mailing Envelopes,202.07,11,0.0,25.22
